source_path,serviceName,seq,title,startDate,endDate,place,realmName,area,sigungu,thumbnail,gpsX,gpsY
period2,공연,377429,"목요상설음악회 아트살롱, 코델리아와 함께하는 힐링 음악회",20260521,20260521,동래문화회관 소극장,음악/콘서트,부산,동래구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042321171651889.png,129.0905406428172,35.21194879604668
period2,공연,380000,제38회 부산예술고등학교 음악정기연주회,20260521,20260521,부산콘서트홀,음악/콘서트,부산,부산진구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051421173685463.jpg,129.0542532,35.1693728
period2,공연,377970,예인교수앙상블 기획연주회: 오페라와 사랑에 빠지다,20260521,20260521,반포심산아트홀,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604282117991818.gif,126.990515657787,37.4988531475655
period2,공연,376953,제70회 구미시립무용단 정기공연: 판-共鳴之場 (공명지장),20260521,20260521,구미시문화예술회관 대공연장,무용/발레,경북,구미시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121172228422.gif,128.34895127389916,36.1184392904038
period2,공연,378501,"강남문화재단 제1012회 목요예술무대, 다크니스 품바",20260521,20260521,강남씨어터,무용/발레,서울,강남구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050521173310173.gif,127.03326325882536,37.49537204130205
period2,공연,380514,[울산] 방귀 뀌는 며느리,20260521,20260522,울산문화예술회관 소공연장,무용/발레,울산,남구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051921171861936.jpg,129.32739864602416,35.54293995581981
period2,공연,376965,"모든 컴퍼니, 창조력",20260521,20260523,서울문화예술교육센터 은평,무용/발레,서울,은평구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121173257369.gif,126.89377297420555,37.58512258280771
period2,공연,376914,제221회 대구시립국악단 정기연주회: 종묘제례악,20260521,20260521,대구문화예술회관 팔공홀,음악/콘서트,대구,달서구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121171234524.gif,128.55951829078703,35.84504289767639
period2,공연,380499,이대우 피아노 독주회,20260521,20260521,영산아트홀,음악/콘서트,서울,영등포구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051921171098909.gif,126.92493268973102,37.52948290693276
period2,공연,376967,"[대구] DSAC 아트 셀렉션, 이혁 &amp; 이효 듀오 리사이틀",20260521,20260521,웃는얼굴아트센터,음악/콘서트,대구,달서구,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604212118071343.jpg,128.52284439999994,35.84337790000001
period2,공연,376969,"[거제] 두시 음악 살롱, 하모니카로 쓴 편지 (5월)",20260521,20260521,거제문화예술회관 소극장,음악/콘서트,경남,거제시,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604212119893252.jpg,128.7233546712226,34.86717110970375
period2,공연,376971,제189회 한국독일가곡연구회 정기연주회: 연가곡 시리즈 II,20260521,20260521,예술의전당 [서울] 리사이틀홀,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121194279751.gif,127.01421162103271,37.48023893523679
period2,공연,376972,[천안] 지역 아티스트와 함께하는 K-클래식 콘서트3: 노이에클랑 M.A.P.,20260521,20260521,천안예술의전당 소공연장,음악/콘서트,충남,천안시,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604212120167964.gif,127.2254122710195,36.75606837695557
period2,공연,376975,[창원] 선우예권 피아노 리사이틀,20260521,20260521,성산아트홀 대극장,음악/콘서트,경남,창원시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121214365785.jpg,128.6836738028174,35.23006724264102
period2,공연,376977,제100회 천안시립합창단 정기연주회: LOBGESANG,20260521,20260521,천안예술의전당 대공연장,음악/콘서트,충남,천안시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121215185676.jpg,127.2254122710195,36.75606837695557
period2,공연,376978,"제134회 울산시립합창단 정기공연, 세대공감: 우리집 음악상자",20260521,20260521,울산문화예술회관 대공연장,음악/콘서트,울산,남구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121215866223.jpg,129.32739864602416,35.54293995581981
period2,공연,376979,제81회 군산시립교향악단 기획연주회: 음(音) 하하하 교과서 음악회,20260521,20260521,군산예술의전당 대공연장,음악/콘서트,전북,군산시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121223090886.jpg,126.70705069104135,35.96077525842545
period2,공연,376981,[부천] 부천아트센터 개관 3주년 페스티벌: 클라라 주미 강 &amp; 김선욱 듀오 리사이틀,20260521,20260521,부천아트센터 콘서트홀,음악/콘서트,경기,부천시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121232706776.jpg,126.7663898771949,37.50215556316868
period2,공연,376984,[대구] 더 마스터즈: 김민지 첼로 리사이틀,20260521,20260521,대구콘서트하우스 챔버홀(소공연장),음악/콘서트,대구,중구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121271096943.gif,128.5935457121097,35.87567459689104
period2,공연,380525,제183회 제주특별자치도립 제주교향악단 정기연주회: 제주 헤리티지 시리즈 Ⅲ,20260521,20260521,제주특별자치도문예회관,음악/콘서트,제주,제주시,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605192120095272.png,126.53520859537419,33.50460332884994
period2,공연,379442,[2026 골목 바이브] 2회차 무료 공연 안내,20260521,20260521,지니어스커피바,음악/콘서트,서울,성동구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/cf2f6ae379e64099b38a2c3e80286772.jpg,127.021404107728,37.547823690218
period2,공연,379742,군산시립교향악단 제81회 기획연주회,20260521,20260521,군산예술의전당,음악/콘서트,전북,군산시,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/421a59c5982d48b587a306479143dd9d.jpg,126.70705069104135,35.96077525842545
period2,공연,374348,예술의전당 X 서울시립교향악단,20260521,20260521,예술의전당 콘서트홀,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/ucms/myRlyPerfInfo/2026/202604/eba6cb3e1723480ab9fd77aa37578d1b.jpg,127.01421162103271,37.48023893523679
period2,공연,377562,제194회 수원시립합창단 정기연주회,20260521,20260521,수원SK아트리움 대공연장,음악/콘서트,경기,수원시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042421171619750.png,126.98662143537662,37.30977690189622
period2,공연,377993,"월간 다온 스테이지 - 5월, 한국슈베르트협회",20260521,20260521,문화공간 스페이스다온,음악/콘서트,서울,서초구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202604/26ed5e39c5b6449f99b4b660a18d3698.jpg,127.02994186306537,37.48930915090323
period2,공연,378506,[창원] 창원시립합창단 기획공연: 가수 박학기와 창원시립합창단이 함께하는 아름다운 만남,20260521,20260521,3.15아트센터 대극장,음악/콘서트,경남,창원시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050521173763032.jpg,128.57717677421078,35.22583780105438
period2,공연,378509,[제주] 파가니니 국제 콩쿠르 우승자 바이올리니스트 케빈 추 리사이틀,20260521,20260521,서귀포예술의전당 대극장,음악/콘서트,제주,서귀포시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050521173820305.jpg,126.55078983871176,33.24635812084147
period2,공연,378475,맿실,20260521,20260524,연희예술극장,연극,서울,서대문구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050521172045371.gif,126.92853542561083,37.56565573349015
period2,공연,377737,길 위의 아이,20260521,20260524,서울문화재단 대학로극장 쿼드,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042721172979913.gif,127.0037167,37.583699
period2,공연,378232,[서울] 룸메이트,20260521,20260524,보광극장,연극,서울,용산구,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605012117724761.gif,126.99776570203626,37.52610095591366
period2,공연,379143,우리는 지금 어디에 있을까?,20260521,20260524,공간아울,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605092117954293.gif,127.00228690963144,37.58187272296083
period2,공연,376973,"혼,길동전",20260521,20260530,김희수아트센터,연극,서울,동대문구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121204904991.gif,127.043048689,37.5905126252
period2,공연,376974,[대학로] 아이들,20260521,20260530,상명아트홀 2관,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042121213484055.gif,127.00285020185453,37.58333682512494
period2,공연,376908,묵호80: 사람은 왜 바다로 나아가는가,20260521,20260531,꿈의숲아트센터 퍼포먼스홀,연극,서울,강북구,http://www.culture.go.kr/upload/rdf/26/04/rdf_202604212117969612.gif,127.03853560819006,37.62148751317226
period2,공연,379583,까마귀들,20260521,20260531,예술공간 혜화,연극,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051221172146516.gif,127.00047552626432,37.58662097852418
