region_code,region_name,province,population,youth_ratio,elderly_ratio,single_household_ratio,event_count,program_diversity,free_event_ratio,youth_program_ratio,elderly_program_ratio,tourism_program_ratio,resident_program_ratio,museum_count,facility_type_count,museum_free_ratio,transport_info_ratio,festival_count,festival_type_count,festival_budget,visitor_total,bus_stop_count,facility_count,facility_per_10k,event_per_month,regular_program_score,public_transport_score,transport_weakness,rural_flag,rural_penalty,elderly_access_penalty,vulnerability_score,mismatch_raw,facility_national_count,facility_national_diversity
2626000000,부산광역시 동래구,부산광역시,271437.0,9.734855601852363,31.512284618530266,30.0,29.0,7.0,0.5,0.034482758620689655,0.0,0.034482758620689655,0.0,3.0,2.0,1.0,1.0,3.0,2.0,1446.0,552109.0,582.0,3.6,0.1326274605156998,2.6666666666666665,1.0,12.369819341126462,87.63018065887354,0,0,100,54.80449258039774,67.98243338879776,6476,5
2623000000,부산광역시 부산진구,부산광역시,365104.0,6.742188527104606,32.20233139050791,30.0,53.0,3.0,0.375,0.0,0.0,0.03773584905660377,0.0,4.0,2.0,0.75,1.0,5.0,2.0,1107.0,115200.0,1064.0,5.0,0.13694728077479293,4.833333333333333,1.0,22.61424017003188,77.38575982996812,0,0,100,49.35353939195494,60.493870223895485,6476,5
2632000000,부산광역시 북구,부산광역시,260994.0,7.72048399580067,36.33340230043602,30.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1000.0,263000.0,120.0,0.4,0.01532602282044798,0.6666666666666666,1.0,2.5504782146652496,97.44952178533475,0,0,100,66.772027060074,66.40378929106129,6476,5
2653000000,부산광역시 사상구,부산광역시,192718.0,6.857169543062922,37.76917568675474,30.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,10475.0,300000.0,40.0,2.8,0.14529000923629343,0.5,1.0,0.8501594048884166,99.14984059511158,0,0,100,69.5834107638215,64.80825591724604,6476,5
2638000000,부산광역시 사하구,부산광역시,282633.0,7.972175931331443,36.72536469555926,30.0,29.0,3.0,0.5,0.034482758620689655,0.0,0.0,0.0,3.0,2.0,1.0,1.0,6.0,2.0,2050.0,238288.0,582.0,4.2,0.14860260479137255,2.9166666666666665,1.0,12.369819341126462,87.63018065887354,0,0,100,61.215865841792095,66.91177197019574,6476,5
2614000000,부산광역시 서구,부산광역시,101320.0,6.962100276352151,40.41058033951836,30.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,359.0,271131.0,0.0,3.4,0.3355704697986577,0.16666666666666666,1.0,0.0,100.0,0,0,100,73.35476579980019,66.63907522987833,6476,5
2650000000,부산광역시 수영구,부산광역시,168513.0,6.771584388148096,35.123106229193,30.0,34.0,5.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1927.0,274253.0,682.0,0.4,0.02373704105914677,3.0,1.0,14.495217853347503,85.5047821466525,0,0,100,57.93833347471372,62.44094563781965,6476,5
2647000000,부산광역시 연제구,부산광역시,211509.0,8.145279869887332,32.29271567640148,30.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,420.0,100000.0,80.0,0.2,0.00945586239829038,0.4166666666666667,1.0,1.7003188097768331,98.29968119022317,0,0,100,62.3253266069308,65.25069748172054,6476,5
2620000000,부산광역시 영도구,부산광역시,100748.0,6.221463453368801,45.08178822408385,30.0,14.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.0,0.6666666666666666,1.0,3.0,2.0,601.0,294750.0,281.0,3.6,0.35732719259935686,1.4166666666666667,1.0,5.972369819341126,94.02763018065887,0,0,100,75.42711287416809,67.26962670807677,6476,5
2611000000,부산광역시 중구,부산광역시,36375.0,4.167697594501718,43.88453608247423,30.0,8.0,3.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2101.935,3363391.0,161.0,1.2000000000000002,0.3298969072164949,1.1666666666666667,1.0,3.421891604675877,96.57810839532412,0,0,100,75.52302614221416,58.29250644077749,6476,5
