region_code,region_name,region_type,cluster
4146500000,경기도 용인시 수지구,시설·행사 부족형,3
4146100000,경기도 용인시 처인구,시설·행사 부족형,0
4143000000,경기도 의왕시,시설·행사 부족형,2
4115000000,경기도 의정부시,균형 관리형,3
4150000000,경기도 이천시,균형 관리형,1
4148000000,경기도 파주시,균형 관리형,3
4165000000,경기도 포천시,균형 관리형,1
4145000000,경기도 하남시,균형 관리형,3
4159700000,경기도 화성시 동탄구,시설·행사 부족형,0
4159100000,경기도 화성시 만세구,시설·행사 부족형,0
4159500000,경기도 화성시 병점구,시설·행사 부족형,2
4159300000,경기도 화성시 효행구,시설·행사 부족형,2
4831000000,경상남도 거제시,시설·행사 부족형,3
4888000000,경상남도 거창군,고령층 교통취약형,2
4882000000,경상남도 고성군,고령층 교통취약형,2
4884000000,경상남도 남해군,고령층 교통취약형,0
4827000000,경상남도 밀양시,시설·행사 부족형,2
4886000000,경상남도 산청군,고령층 교통취약형,2
4872000000,경상남도 의령군,고령층 교통취약형,2
4817000000,경상남도 진주시,균형 관리형,3
4874000000,경상남도 창녕군,고령층 교통취약형,2
4812500000,경상남도 창원시 마산합포구,고령층 교통취약형,2
4812700000,경상남도 창원시 마산회원구,고령층 교통취약형,2
4812300000,경상남도 창원시 성산구,시설·행사 부족형,0
4812100000,경상남도 창원시 의창구,고령층 교통취약형,2
4812900000,경상남도 창원시 진해구,시설·행사 부족형,0
4822000000,경상남도 통영시,균형 관리형,3
4885000000,경상남도 하동군,고령층 교통취약형,2
4873000000,경상남도 함안군,고령층 교통취약형,2
4887000000,경상남도 함양군,고령층 교통취약형,2
4889000000,경상남도 합천군,고령층 교통취약형,2
4729000000,경상북도 경산시,균형 관리형,1
4713000000,경상북도 경주시,균형 관리형,3
4783000000,경상북도 고령군,고령층 교통취약형,0
4719000000,경상북도 구미시,균형 관리형,3
4715000000,경상북도 김천시,시설·행사 부족형,2
4728000000,경상북도 문경시,균형 관리형,2
4792000000,경상북도 봉화군,고령층 교통취약형,2
4725000000,경상북도 상주시,시설·행사 부족형,2
4784000000,경상북도 성주군,고령층 교통취약형,2
4717000000,경상북도 안동시,균형 관리형,1
4777000000,경상북도 영덕군,고령층 교통취약형,2
4776000000,경상북도 영양군,고령층 교통취약형,2
4721000000,경상북도 영주시,균형 관리형,2
4723000000,경상북도 영천시,균형 관리형,1
4790000000,경상북도 예천군,고령층 교통취약형,2
4794000000,경상북도 울릉군,고령층 교통취약형,2
4793000000,경상북도 울진군,고령층 교통취약형,2
4773000000,경상북도 의성군,고령층 교통취약형,2
4782000000,경상북도 청도군,고령층 교통취약형,2
4775000000,경상북도 청송군,고령층 교통취약형,2
4785000000,경상북도 칠곡군,고령층 교통취약형,0
4711100000,경상북도 포항시 남구,고령층 교통취약형,0
4711300000,경상북도 포항시 북구,고령층 교통취약형,2
2920000000,광주광역시 광산구,시설·행사 부족형,3
2915500000,광주광역시 남구,균형 관리형,3
2911000000,광주광역시 동구,균형 관리형,1
2917000000,광주광역시 북구,균형 관리형,3
2914000000,광주광역시 서구,균형 관리형,3
2772000000,대구광역시 군위군,고령층 교통취약형,2
2720000000,대구광역시 남구,시설·행사 부족형,1
2729000000,대구광역시 달서구,균형 관리형,3
2771000000,대구광역시 달성군,시설·행사 부족형,2
2714000000,대구광역시 동구,시설·행사 부족형,3
2723000000,대구광역시 북구,균형 관리형,3
2717000000,대구광역시 서구,시설·행사 부족형,2
2726000000,대구광역시 수성구,균형 관리형,3
2711000000,대구광역시 중구,균형 관리형,1
3023000000,대전광역시 대덕구,시설·행사 부족형,2
3011000000,대전광역시 동구,교통 취약형,3
3017000000,대전광역시 서구,균형 관리형,3
3020000000,대전광역시 유성구,균형 관리형,3
3014000000,대전광역시 중구,균형 관리형,3
2644000000,부산광역시 강서구,시설·행사 부족형,1
2641000000,부산광역시 금정구,균형 관리형,3
2671000000,부산광역시 기장군,교통 취약형,2
2629000000,부산광역시 남구,균형 관리형,3
2617000000,부산광역시 동구,시설·행사 부족형,1
2626000000,부산광역시 동래구,균형 관리형,3
2623000000,부산광역시 부산진구,시설·행사 부족형,3
2632000000,부산광역시 북구,고령층 교통취약형,2
2653000000,부산광역시 사상구,시설·행사 부족형,2
2638000000,부산광역시 사하구,시설·행사 부족형,3
2614000000,부산광역시 서구,시설·행사 부족형,2
2650000000,부산광역시 수영구,시설·행사 부족형,2
2647000000,부산광역시 연제구,고령층 교통취약형,2
2620000000,부산광역시 영도구,시설·행사 부족형,2
2611000000,부산광역시 중구,시설·행사 부족형,0
2635000000,부산광역시 해운대구,균형 관리형,3
1168000000,서울특별시 강남구,균형 관리형,3
1174000000,서울특별시 강동구,시설·행사 부족형,3
1130500000,서울특별시 강북구,균형 관리형,3
1150000000,서울특별시 강서구,균형 관리형,3
1162000000,서울특별시 관악구,균형 관리형,0
1121500000,서울특별시 광진구,균형 관리형,1
1153000000,서울특별시 구로구,시설·행사 부족형,3
1154500000,서울특별시 금천구,시설·행사 부족형,0
1135000000,서울특별시 노원구,균형 관리형,3
1132000000,서울특별시 도봉구,교통 취약형,3
1123000000,서울특별시 동대문구,시설·행사 부족형,0
1159000000,서울특별시 동작구,균형 관리형,3
1144000000,서울특별시 마포구,균형 관리형,1
1141000000,서울특별시 서대문구,균형 관리형,1
1165000000,서울특별시 서초구,균형 관리형,1
1120000000,서울특별시 성동구,균형 관리형,1
1129000000,서울특별시 성북구,균형 관리형,3
1171000000,서울특별시 송파구,균형 관리형,3
1147000000,서울특별시 양천구,시설·행사 부족형,3
1156000000,서울특별시 영등포구,균형 관리형,1
1117000000,서울특별시 용산구,균형 관리형,1
1138000000,서울특별시 은평구,시설·행사 부족형,3
1111000000,서울특별시 종로구,균형 관리형,1
1114000000,서울특별시 중구,균형 관리형,1
1126000000,서울특별시 중랑구,고령층 교통취약형,0
3611000000,세종특별자치시,시설·행사 부족형,2
3114000000,울산광역시 남구,균형 관리형,3
3117000000,울산광역시 동구,시설·행사 부족형,2
3120000000,울산광역시 북구,시설·행사 부족형,2
3171000000,울산광역시 울주군,고령층 교통취약형,2
3111000000,울산광역시 중구,균형 관리형,1
2871000000,인천광역시 강화군,고령층 교통취약형,2
2824500000,인천광역시 계양구,시설·행사 부족형,2
2820000000,인천광역시 남동구,시설·행사 부족형,3
2814000000,인천광역시 동구,시설·행사 부족형,2
2817700000,인천광역시 미추홀구,균형 관리형,3
2823700000,인천광역시 부평구,균형 관리형,3
2818500000,인천광역시 연수구,균형 관리형,3
2872000000,인천광역시 옹진군,고령층 교통취약형,2
4681000000,전라남도 강진군,고령층 교통취약형,2
4677000000,전라남도 고흥군,고령층 교통취약형,2
4672000000,전라남도 곡성군,고령층 교통취약형,0
4623000000,전라남도 광양시,시설·행사 부족형,1
4673000000,전라남도 구례군,고령층 교통취약형,0
4617000000,전라남도 나주시,균형 관리형,1
4671000000,전라남도 담양군,고령층 교통취약형,0
4611000000,전라남도 목포시,균형 관리형,3
4684000000,전라남도 무안군,교통 취약형,2
4678000000,전라남도 보성군,고령층 교통취약형,2
4615000000,전라남도 순천시,균형 관리형,1
4691000000,전라남도 신안군,고령층 교통취약형,2
4613000000,전라남도 여수시,균형 관리형,3
4687000000,전라남도 영광군,고령층 교통취약형,2
4683000000,전라남도 영암군,고령층 교통취약형,2
4689000000,전라남도 완도군,고령층 교통취약형,2
4688000000,전라남도 장성군,고령층 교통취약형,2
4680000000,전라남도 장흥군,고령층 교통취약형,2
4690000000,전라남도 진도군,고령층 교통취약형,2
4686000000,전라남도 함평군,고령층 교통취약형,0
4682000000,전라남도 해남군,고령층 교통취약형,2
4679000000,전라남도 화순군,고령층 교통취약형,2
5279000000,전북특별자치도 고창군,고령층 교통취약형,2
5213000000,전북특별자치도 군산시,고령층 교통취약형,2
5221000000,전북특별자치도 김제시,균형 관리형,1
5219000000,전북특별자치도 남원시,균형 관리형,1
5273000000,전북특별자치도 무주군,고령층 교통취약형,2
5280000000,전북특별자치도 부안군,고령층 교통취약형,2
5277000000,전북특별자치도 순창군,고령층 교통취약형,2
5271000000,전북특별자치도 완주군,고령층 교통취약형,2
5214000000,전북특별자치도 익산시,교통 취약형,3
5275000000,전북특별자치도 임실군,고령층 교통취약형,2
5274000000,전북특별자치도 장수군,고령층 교통취약형,2
5211300000,전북특별자치도 전주시 덕진구,시설·행사 부족형,3
5211100000,전북특별자치도 전주시 완산구,고령층 교통취약형,0
5218000000,전북특별자치도 정읍시,고령층 교통취약형,2
5272000000,전북특별자치도 진안군,고령층 교통취약형,0
5013000000,제주특별자치도 서귀포시,교통 취약형,3
5011000000,제주특별자치도 제주시,균형 관리형,3
4425000000,충청남도 계룡시,시설·행사 부족형,2
4415000000,충청남도 공주시,균형 관리형,1
4471000000,충청남도 금산군,고령층 교통취약형,2
4423000000,충청남도 논산시,시설·행사 부족형,3
4427000000,충청남도 당진시,균형 관리형,1
4418000000,충청남도 보령시,균형 관리형,1
4476000000,충청남도 부여군,고령층 교통취약형,2
4421000000,충청남도 서산시,균형 관리형,1
4477000000,충청남도 서천군,고령층 교통취약형,2
4420000000,충청남도 아산시,균형 관리형,3
4481000000,충청남도 예산군,고령층 교통취약형,2
4413100000,충청남도 천안시 동남구,시설·행사 부족형,2
4413300000,충청남도 천안시 서북구,시설·행사 부족형,3
4479000000,충청남도 청양군,고령층 교통취약형,2
4482500000,충청남도 태안군,고령층 교통취약형,2
4480000000,충청남도 홍성군,고령층 교통취약형,2
4376000000,충청북도 괴산군,고령층 교통취약형,2
4380000000,충청북도 단양군,고령층 교통취약형,2
4372000000,충청북도 보은군,고령층 교통취약형,0
4373000000,충청북도 옥천군,고령층 교통취약형,2
4377000000,충청북도 음성군,고령층 교통취약형,0
4315000000,충청북도 제천시,균형 관리형,1
4374500000,충청북도 증평군,고령층 교통취약형,2
4375000000,충청북도 진천군,시설·행사 부족형,0
4311100000,충청북도 청주시 상당구,시설·행사 부족형,0
4311200000,충청북도 청주시 서원구,시설·행사 부족형,2
4311400000,충청북도 청주시 청원구,시설·행사 부족형,2
4311300000,충청북도 청주시 흥덕구,시설·행사 부족형,2
4313000000,충청북도 충주시,균형 관리형,1
